FE_REPORTE,CAMAS_ADULTOS_COVID,CAMAS_ADULTOS_NOCOVID,CAMAS_ADULTOS_OCC,CAMAS_ADULTOS_DISP,CAMAS_ADULTOS_TOTAL,CAMAS_ICU_COVID,CAMAS_ICU_NOCOVID,CAMAS_ICU_OCC,CAMAS_ICU_DISP,CAMAS_ICU_TOTAL,CAMAS_PED_COVID,CAMAS_PED_NOCOVID,CAMAS_PED_OCC,CAMAS_PED_DISP,CAMAS_PED_TOTAL,CAMAS_PICU_COVID,CAMAS_PICU_NOCOVID,CAMAS_PICU_OCC,CAMAS_PICU_DISP,CAMAS_PICU_TOTAL,VENT_ADULTOS_COVID,VENT_ADULTOS_NOCOVID,VENT_ADULTOS_OCC,VENT_ADULTOS_DISP,VENT_ADULTOS_TOTAL,VENT_PED_COVID,VENT_PED_NOCOVID,VENT_PED_OCC,VENT_PED_DISP,VENT_PED_TOTAL,CUARTOS_PRESNEG_OCC,CUARTOS_PRESNEG_DISP,CUARTOS_PRESNEG_TOTAL,VENT_ORD,VENT_REC,VENT_ENTR,CONVALECIENTES
"2020-04-11 00:00:00",,,,3589,,,330,,352,,,,,896,,,22,,68,,,267,,801,,,27,,187,,174,170,344,380,0,0,
"2020-04-12 00:00:00",,,,3940,,,334,,333,,,,,960,,,23,,67,,,232,,836,,,35,,175,,152,186,338,380,0,0,
"2020-04-13 00:00:00",,,,3930,,,302,,357,,,,,958,,,18,,72,,,240,,839,,,33,,169,,155,191,346,380,0,0,
"2020-04-14 00:00:00",,,,3645,,,309,,322,,,,,869,,,19,,65,,,373,,772,,,34,,163,,158,163,321,380,0,0,
"2020-04-15 00:00:00",,,,3700,,,342,,323,,,,,831,,,20,,68,,,262,,820,,,35,,160,,167,146,313,380,0,0,
"2020-04-16 00:00:00",,,,3594,,,334,,321,,,,,939,,,69,,28,,,255,,778,,,32,,152,,153,175,328,380,0,0,
"2020-04-17 00:00:00",,,,3404,,,357,,291,,,,,969,,,21,,65,,,249,,771,,,28,,166,,157,170,327,355,25,0,
"2020-04-18 00:00:00",,,,3683,,,360,,362,,,,,968,,,22,,66,,,235,,815,,,30,,172,,161,172,333,355,25,0,330
"2020-04-19 00:00:00",,,,3746,,,359,,330,,,,,973,,,20,,66,,,254,,782,,,35,,155,,180,187,367,355,25,0,342
"2020-04-20 00:00:00",,,,3709,,,353,,316,,,,,986,,,19,,68,,,245,,841,,,31,,156,,161,192,353,355,25,0,430
